"Group.1","Group.2","Group.3","V1","V2"
2016,"22E5","Blue Whiting",1.4568,195.9
2016,"26E0","Blue Whiting",0.1365,18.31
2012,"28D8","Blue Whiting",99.6761,27411.04
2016,"28D8","Blue Whiting",4.5488,610.37
2015,"28D9","Blue Whiting",0.4248,89.21
2016,"28D9","Blue Whiting",12.8767,1731.54
2012,"29D8","Blue Whiting",15.0843,4148.22
2015,"29D9","Blue Whiting",0.2089,0
2016,"29D9","Blue Whiting",4.7403,636.55
2012,"30D8","Blue Whiting",1.6605,456.65
2012,"30D9","Blue Whiting",23.4038,17552.97
2014,"30D9","Blue Whiting",10.65,1792.75
2012,"31D8","Blue Whiting",0.9786,269.13
2015,"31F1","Blue Whiting",0.009,9
2015,"32D8","Blue Whiting",8.1676,1295.21
2016,"32D8","Blue Whiting",23.2218,3115.92
2016,"32E5","Blue Whiting",0.04,40
2012,"32F1","Blue Whiting",8e-04,0.9
2012,"33D8","Blue Whiting",19.95,14962.56
2015,"33D8","Blue Whiting",4.7269,372.5
2016,"33D8","Blue Whiting",16.2011,2177.65
2016,"34D4","Blue Whiting",1691.74,313541
2016,"34D5","Blue Whiting",825.673,156877.9
2012,"35D5","Blue Whiting",1276.571,396055
2013,"35D5","Blue Whiting",113.539,25974.8
2015,"35D5","Blue Whiting",484.253,146431.8
2015,"35D8","Blue Whiting",110.3793,23179.59
2013,"36D5","Blue Whiting",832.94,181228.5
2015,"36D5","Blue Whiting",3157.621,504344.9
2016,"36D5","Blue Whiting",2108.248,438429.2
2013,"36D6","Blue Whiting",847.2,190433
2014,"36D6","Blue Whiting",202.426,25708.1
2015,"36D6","Blue Whiting",2236.474,971812.4
2016,"36D6","Blue Whiting",4003.8753,808185
2016,"36D7","Blue Whiting",2009.84,526094
2012,"36D8","Blue Whiting",4.8,320
2015,"36D8","Blue Whiting",1.8577,390.11
2013,"37D5","Blue Whiting",998.69,224771.7
2014,"37D5","Blue Whiting",506.065,64270.2
2013,"37D6","Blue Whiting",2093.8476,470430.23
2014,"37D6","Blue Whiting",3320.6177,433593.34
2015,"37D6","Blue Whiting",2930.3,816862.5
2016,"37D6","Blue Whiting",2104.6,499029.1
2012,"37D7","Blue Whiting",852.9611,346218.8
2013,"37D7","Blue Whiting",618.7,139746.6
2014,"37D7","Blue Whiting",6031.21,974840.8
2016,"37D7","Blue Whiting",4505.913,1021605.9
2012,"37D8","Blue Whiting",1193.81,895357.7
2015,"37D8","Blue Whiting",5088.812,949941.8
2016,"37D8","Blue Whiting",1512.059,382001
2012,"38D8","Blue Whiting",818.62,225121
2016,"38D8","Blue Whiting",566.953,148792.7
2012,"38D9","Blue Whiting",273.28,75152
2014,"38D9","Blue Whiting",859.655,133018
2015,"38D9","Blue Whiting",1447.0849,240702.23
2013,"39D9","Blue Whiting",395.206,88685.1
2015,"39D9","Blue Whiting",1901.056,370558.7
2016,"39D9","Blue Whiting",1412.72,320164.1
2012,"39E0","Blue Whiting",182.907,50299.3
2014,"39E0","Blue Whiting",7,630
2012,"40D9","Blue Whiting",260.32,71588
2013,"40D9","Blue Whiting",169.374,38007.9
2014,"40D9","Blue Whiting",1696.845,254595.1
2016,"40D9","Blue Whiting",230.5505,52548.15
2012,"40E0","Blue Whiting",1315.893,361870.7
2014,"40E0","Blue Whiting",1289.48,199528
2016,"40E0","Blue Whiting",4377.492,948325.3
2015,"40E1","Blue Whiting",1556.67,267155
2012,"41E0","Blue Whiting",260.32,71588
2015,"41E0","Blue Whiting",1011.06,174022.4
2016,"41E0","Blue Whiting",1445.361,342531
2014,"42E0","Blue Whiting",6.5,585
2015,"42E0","Blue Whiting",3619.242,652412
2016,"42E0","Blue Whiting",4184.971,1133430
2013,"43D9","Blue Whiting",67.0308,15334.9
2016,"43D9","Blue Whiting",16.8501,2274.77
2012,"43E0","Blue Whiting",430.823,118476
2015,"43E0","Blue Whiting",2025.697,347485.8
2016,"43E0","Blue Whiting",1712.5563,382854
2013,"44D9","Blue Whiting",211.684,47526.3
2012,"44E0","Blue Whiting",1622.4171,446165.7
2013,"44E0","Blue Whiting",593.816,133276.01
2014,"44E0","Blue Whiting",1731.899,248861
2015,"44E0","Blue Whiting",2931.602,580203.2
2016,"44E0","Blue Whiting",3118.985,636893
2015,"44F0","Blue Whiting",0.1322,27.76
2015,"44F1","Blue Whiting",0.1322,27.76
2013,"45E0","Blue Whiting",199.653,44205.8
2015,"45E0","Blue Whiting",5.45,0
2016,"45E0","Blue Whiting",2272.595,518093.8
2013,"45E3","Blue Whiting",170.204,37685.6
2015,"45F0","Blue Whiting",0.0875,0
2015,"45F1","Blue Whiting",0.1322,27.76
2016,"46E0","Blue Whiting",62.8369,8482.99
2013,"46E1","Blue Whiting",267.8286,59301
2014,"46E2","Blue Whiting",16.2,1458
2015,"46E2","Blue Whiting",902.68,137300
2014,"46E5","Blue Whiting",3,270
2015,"46E9","Blue Whiting",0.3072,27.76
2015,"46F0","Blue Whiting",0.1322,27.76
2015,"47E6","Blue Whiting",0.3966,83.28
2015,"47E7","Blue Whiting",0.0875,0
2015,"47F0","Blue Whiting",0.0875,0
2015,"48E7","Blue Whiting",0.3519,55.52
2015,"49E7","Blue Whiting",0.3966,83.28
2012,"49E8","Blue Whiting",3.8,962.34
2015,"49E8","Blue Whiting",0.2644,55.52
2014,"51E8","Blue Whiting",1.5,135
2015,"55E9","Blue Whiting",5.4851,1151.88
2015,"56E9","Blue Whiting",1.2029,252.61
2015,"58E9","Blue Whiting",0.0913,19.16
2016,"58E9","Blue Whiting",6.5425,883.24
2016,"59E9","Blue Whiting",14.4946,1956.77
